geo_id,zone_code
1,2452017.00
2,2453040.00
3,2453050.00
4,2453052.00
5,2455048.00
6,2457033.00
7,2457050.00
8,2457057.00
9,2457068.00
10,2457075.00
11,2459030.00
12,2459035.00
13,2461005.00
14,2461013.00
15,2461020.00
16,2461025.00
17,2461027.00
18,2461030.00
19,2461035.00
20,2461040.00
21,2461045.00
22,2461050.00
23,2462037.00
24,2463005.00
25,2463013.00
26,2463023.00
27,2463030.00
28,2463040.00
29,2463055.00
30,2463060.00
31,2463065.00
32,2467005.00
33,2467010.00
34,2467035.00
35,2468025.00
36,2468040.00
37,2468045.00
38,2468050.00
39,2468055.00
40,2470005.00
41,2470012.00
42,2470030.00
43,2470035.00
44,2470040.00
45,2470052.00
46,2471005.00
47,2471015.00
48,2471020.00
49,2471045.00
50,2471110.00
51,2471115.00
52,2471125.00
53,2471133.00
54,2471140.00
55,2475028.00
56,2475040.00
57,2475045.00
58,2476008.00
59,2476020.00
60,2476030.00
61,2476035.00
62,2476043.00
63,2477022.00
64,2477030.00
65,2477035.00
66,2477043.00
67,2477050.00
68,2477055.00
69,2477060.00
70,2477065.00
71,4620001.00
72,4620002.00
73,4620003.00
74,4620004.00
75,4620005.00
76,4620006.00
77,4620007.00
78,4620008.00
79,4620009.00
80,4620010.00
81,4620011.00
82,4620012.01
83,4620012.02
84,4620013.00
85,4620014.02
86,4620014.03
87,4620014.04
88,4620015.00
89,4620016.00
90,4620017.00
91,4620018.00
92,4620019.00
93,4620021.00
94,4620022.00
95,4620023.00
96,4620024.00
97,4620025.00
98,4620026.00
99,4620027.00
100,4620028.00
101,4620029.00
102,4620030.00
103,4620031.00
104,4620032.00
105,4620033.00
106,4620034.00
107,4620035.00
108,4620036.00
109,4620037.00
110,4620038.00
111,4620039.00
112,4620040.00
113,4620041.00
114,4620042.00
115,4620043.00
116,4620044.00
117,4620045.00
118,4620046.00
119,4620047.00
120,4620048.00
121,4620049.00
122,4620050.00
123,4620051.00
124,4620052.00
125,4620053.00
126,4620054.00
127,4620055.01
128,4620055.02
129,4620056.00
130,4620057.00
131,4620058.00
132,4620059.00
133,4620060.00
134,4620061.00
135,4620062.00
136,4620063.00
137,4620064.00
138,4620065.01
139,4620065.02
140,4620066.01
141,4620066.02
142,4620067.00
143,4620068.00
144,4620069.01
145,4620069.02
146,4620070.01
147,4620070.02
148,4620071.00
149,4620072.00
150,4620073.00
151,4620074.00
152,4620075.00
153,4620076.00
154,4620077.00
155,4620078.00
156,4620079.00
157,4620080.00
158,4620081.00
159,4620082.00
160,4620083.00
161,4620084.00
162,4620085.00
163,4620086.00
164,4620087.00
165,4620088.00
166,4620089.00
167,4620090.00
168,4620091.00
169,4620092.00
170,4620093.00
171,4620094.01
172,4620094.02
173,4620095.00
174,4620096.00
175,4620097.01
176,4620097.02
177,4620098.00
178,4620099.00
179,4620100.01
180,4620100.02
181,4620101.01
182,4620101.02
183,4620102.00
184,4620103.00
185,4620104.00
186,4620105.00
187,4620106.00
188,4620107.00
189,4620108.00
190,4620109.00
191,4620110.00
192,4620111.00
193,4620112.01
194,4620112.02
195,4620113.00
196,4620114.00
197,4620115.01
198,4620115.02
199,4620116.00
200,4620117.00
201,4620118.00
202,4620119.00
203,4620120.01
204,4620120.02
205,4620121.00
206,4620122.00
207,4620123.00
208,4620124.00
209,4620125.00
210,4620126.00
211,4620127.01
212,4620127.02
213,4620128.00
214,4620129.01
215,4620129.02
216,4620130.00
217,4620131.00
218,4620132.00
219,4620133.00
220,4620134.00
221,4620135.00
222,4620136.00
223,4620137.00
224,4620138.00
225,4620139.00
226,4620140.00
227,4620141.00
228,4620142.00
229,4620143.00
230,4620144.00
231,4620145.00
232,4620146.00
233,4620147.00
234,4620148.00
235,4620149.00
236,4620150.00
237,4620151.00
238,4620152.00
239,4620153.00
240,4620154.00
241,4620155.00
242,4620156.00
243,4620157.00
244,4620158.00
245,4620159.00
246,4620160.00
247,4620161.00
248,4620162.00
249,4620163.00
250,4620164.00
251,4620165.00
252,4620166.00
253,4620167.00
254,4620168.00
255,4620169.00
256,4620170.00
257,4620171.00
258,4620172.00
259,4620173.00
260,4620174.00
261,4620175.00
262,4620176.00
263,4620177.00
264,4620178.00
265,4620179.00
266,4620180.00
267,4620181.00
268,4620182.00
269,4620183.00
270,4620184.00
271,4620185.00
272,4620186.00
273,4620187.01
274,4620187.03
275,4620187.04
276,4620188.01
277,4620188.02
278,4620189.00
279,4620190.01
280,4620190.02
281,4620191.00
282,4620192.00
283,4620193.00
284,4620194.01
285,4620194.02
286,4620195.01
287,4620195.02
288,4620195.03
289,4620196.00
290,4620197.00
291,4620198.00
292,4620199.00
293,4620200.00
294,4620201.00
295,4620202.00
296,4620203.00
297,4620204.00
298,4620205.00
299,4620206.00
300,4620207.00
301,4620208.00
302,4620209.00
303,4620210.00
304,4620211.00
305,4620212.00
306,4620213.00
307,4620214.00
308,4620215.00
309,4620216.00
310,4620217.00
311,4620218.00
312,4620219.00
313,4620220.00
314,4620221.00
315,4620222.00
316,4620223.01
317,4620223.02
318,4620224.00
319,4620225.00
320,4620226.00
321,4620227.00
322,4620228.00
323,4620229.00
324,4620230.00
325,4620231.00
326,4620232.00
327,4620233.00
328,4620234.00
329,4620235.00
330,4620236.00
331,4620237.00
332,4620238.00
333,4620239.00
334,4620240.00
335,4620241.00
336,4620242.00
337,4620243.00
338,4620244.00
339,4620245.00
340,4620247.00
341,4620249.00
342,4620250.00
343,4620251.01
